NO_OF_FRAMES	5823
NO_OF_CAMERAS	30
NO_OF_MARKERS	1
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-02-21, 11:05:44.077	92468.31079140
DATA_INCLUDED	3D
MARKER_NAMES	COM
TRAJECTORY_TYPES	Measured
Frame	Time	COM X	COM Y	COM Z	
745	2.48000	533.780	1525.896	894.378
746	2.48333	533.777	1525.823	894.367
747	2.48667	533.741	1525.745	894.384
748	2.49000	533.726	1525.673	894.385
749	2.49333	533.660	1525.592	894.377
750	2.49667	533.629	1525.556	894.352
751	2.50000	533.640	1525.504	894.284
752	2.50333	533.591	1525.495	894.285
753	2.50667	533.592	1525.395	894.268
754	2.51000	533.591	1525.389	894.259
755	2.51333	533.600	1525.347	894.272
756	2.51667	533.609	1525.292	894.209
757	2.52000	533.559	1525.239	894.253
758	2.52333	533.572	1525.253	894.199
759	2.52667	533.570	1525.184	894.201
760	2.53000	533.544	1525.172	894.214
761	2.53333	533.544	1525.134	894.222
762	2.53667	533.548	1525.069	894.182
763	2.54000	533.511	1525.057	894.213
764	2.54333	533.450	1525.036	894.265
765	2.54667	533.440	1524.965	894.261
766	2.55000	533.391	1524.948	894.298
767	2.55333	533.402	1524.916	894.276
768	2.55667	533.321	1524.888	894.329
769	2.56000	533.275	1524.850	894.348
770	2.56333	533.236	1524.790	894.412
771	2.56667	533.161	1524.748	894.431
772	2.57000	533.061	1524.705	894.449
773	2.57333	533.024	1524.694	894.461
774	2.57667	533.005	1524.606	894.530
775	2.58000	532.908	1524.529	894.538
776	2.58333	532.915	1524.485	894.565
777	2.58667	532.861	1524.448	894.579
778	2.59000	532.829	1524.405	894.612
779	2.59333	532.743	1524.331	894.603
780	2.59667	532.728	1524.312	894.662
781	2.60000	532.722	1524.326	894.629
782	2.60333	532.722	1524.276	894.653
783	2.60667	532.698	1524.239	894.674
784	2.61000	532.688	1524.240	894.626
785	2.61333	532.681	1524.196	894.657
786	2.61667	532.667	1524.156	894.655
787	2.62000	532.636	1524.160	894.621
788	2.62333	532.591	1524.111	894.661
789	2.62667	532.588	1524.093	894.592
790	2.63000	532.654	1524.152	894.597
791	2.63333	532.611	1524.098	894.526
792	2.63667	532.542	1524.050	894.527
793	2.64000	532.586	1524.066	894.453
794	2.64333	532.559	1524.075	894.432
795	2.64667	532.516	1524.003	894.410
796	2.65000	532.492	1524.036	894.298
797	2.65333	532.436	1524.017	894.212
798	2.65667	532.439	1524.041	894.133
799	2.66000	532.397	1524.022	894.076
800	2.66333	532.325	1524.001	894.013
801	2.66667	532.355	1523.959	893.923
802	2.67000	532.282	1524.004	893.879
803	2.67333	532.251	1523.988	893.809
804	2.67667	532.251	1523.950	893.796
805	2.68000	532.265	1523.947	893.688
806	2.68333	532.186	1523.983	893.681
807	2.68667	532.174	1523.923	893.628
808	2.69000	532.155	1523.907	893.570
809	2.69333	532.166	1523.944	893.551
810	2.69667	532.103	1523.924	893.577
811	2.70000	532.095	1523.949	893.500
812	2.70333	532.039	1523.901	893.532
813	2.70667	532.075	1523.933	893.518
814	2.71000	531.992	1523.898	893.497
815	2.71333	532.017	1523.896	893.502
816	2.71667	532.015	1524.001	893.505
817	2.72000	531.984	1523.956	893.509
818	2.72333	531.935	1523.951	893.499
819	2.72667	531.925	1523.988	893.512
820	2.73000	531.916	1523.961	893.464
821	2.73333	531.936	1524.022	893.391
822	2.73667	531.792	1523.995	893.439
823	2.74000	531.814	1524.085	893.383
824	2.74333	531.692	1524.099	893.303
825	2.74667	531.660	1524.101	893.297
826	2.75000	531.639	1524.094	893.315
827	2.75333	531.605	1524.064	893.297
828	2.75667	531.488	1524.090	893.311
